ks0000 kkkkkkkk	kkkkkkkk
ks0001 kkkkkkks	kkkkkkks
ks0002 kkkkkksk	kkkkkksk
ks0003 kkkkkkss	kkkkkkss
ks0004 kkkkkskk	kkkkkskk
ks0005 kkkkksks	kkkkksks
ks0006 kkkkkssk	kkkkkssk
ks0007 kkkkksss	kkkkksss
ks0008 kkkkskkk	kkkkskkk
ks0009 kkkkskks	kkkkskks
ks0010 kkkksksk	kkkksksk
ks0011 kkkkskss	kkkkskss
ks0012 kkkksskk	kkkksskk
ks0013 kkkkssks	kkkkssks
ks0014 kkkksssk	kkkksssk
ks0015 kkkkssss	kkkkssss
ks0016 kkkskkkk	kkkskkkk
ks0017 kkkskkks	kkkskkks
ks0018 kkkskksk	kkkskksk
ks0019 kkkskkss	kkkskkss
ks0020 kkkskskk	kkkskskk
ks0021 kkksksks	kkksksks
ks0022 kkkskssk	kkkskssk
ks0023 kkksksss	kkksksss
ks0024 kkksskkk	kkksskkk
ks0025 kkksskks	kkksskks
ks0026 kkkssksk	kkkssksk
ks0027 kkksskss	kkksskss
ks0028 kkkssskk	kkkssskk
ks0029 kkksssks	kkksssks
ks0030 kkkssssk	kkkssssk
ks0031 kkksssss	kkksssss
ks0032 kkskkkkk	kkskkkkk
ks0033 kkskkkks	kkskkkks
ks0034 kkskkksk	kkskkksk
ks0035 kkskkkss	kkskkkss
ks0036 kkskkskk	kkskkskk
ks0037 kkskksks	kkskksks
ks0038 kkskkssk	kkskkssk
ks0039 kkskksss	kkskksss
ks0040 kkskskkk	kkskskkk
ks0041 kkskskks	kkskskks
ks0042 kksksksk	kksksksk
ks0043 kkskskss	kkskskss
ks0044 kksksskk	kksksskk
ks0045 kkskssks	kkskssks
ks0046 kksksssk	kksksssk
ks0047 kkskssss	kkskssss
ks0048 kksskkkk	kksskkkk
ks0049 kksskkks	kksskkks
ks0050 kksskksk	kksskksk
ks0051 kksskkss	kksskkss
ks0052 kksskskk	kksskskk
ks0053 kkssksks	kkssksks
ks0054 kksskssk	kksskssk
ks0055 kkssksss	kkssksss
ks0056 kkssskkk	kkssskkk
ks0057 kkssskks	kkssskks
ks0058 kksssksk	kksssksk
ks0059 kkssskss	kkssskss
ks0060 kksssskk	kksssskk
ks0061 kkssssks	kkssssks
ks0062 kksssssk	kksssssk
ks0063 kkssssss	kkssssss
ks0064 kskkkkkk	kskkkkkk
ks0065 kskkkkks	kskkkkks
ks0066 kskkkksk	kskkkksk
ks0067 kskkkkss	kskkkkss
ks0068 kskkkskk	kskkkskk
ks0069 kskkksks	kskkksks
ks0070 kskkkssk	kskkkssk
ks0071 kskkksss	kskkksss
ks0072 kskkskkk	kskkskkk
ks0073 kskkskks	kskkskks
ks0074 kskksksk	kskksksk
ks0075 kskkskss	kskkskss
ks0076 kskksskk	kskksskk
ks0077 kskkssks	kskkssks
ks0078 kskksssk	kskksssk
ks0079 kskkssss	kskkssss
ks0080 kskskkkk	kskskkkk
ks0081 kskskkks	kskskkks
ks0082 kskskksk	kskskksk
ks0083 kskskkss	kskskkss
ks0084 kskskskk	kskskskk
ks0085 ksksksks	ksksksks
ks0086 kskskssk	kskskssk
ks0087 ksksksss	ksksksss
ks0088 ksksskkk	ksksskkk
ks0089 ksksskks	ksksskks
ks0090 kskssksk	kskssksk
ks0091 ksksskss	ksksskss
ks0092 kskssskk	kskssskk
ks0093 ksksssks	ksksssks
ks0094 kskssssk	kskssssk
ks0095 ksksssss	ksksssss
ks0096 ksskkkkk	ksskkkkk
ks0097 ksskkkks	ksskkkks
ks0098 ksskkksk	ksskkksk
ks0099 ksskkkss	ksskkkss
ks0100 ksskkskk	ksskkskk
ks0101 ksskksks	ksskksks
ks0102 ksskkssk	ksskkssk
ks0103 ksskksss	ksskksss
ks0104 ksskskkk	ksskskkk
ks0105 ksskskks	ksskskks
ks0106 kssksksk	kssksksk
ks0107 ksskskss	ksskskss
ks0108 kssksskk	kssksskk
ks0109 ksskssks	ksskssks
ks0110 kssksssk	kssksssk
ks0111 ksskssss	ksskssss
ks0112 kssskkkk	kssskkkk
ks0113 kssskkks	kssskkks
ks0114 kssskksk	kssskksk
ks0115 kssskkss	kssskkss
ks0116 kssskskk	kssskskk
ks0117 ksssksks	ksssksks
ks0118 kssskssk	kssskssk
ks0119 ksssksss	ksssksss
ks0120 ksssskkk	ksssskkk
ks0121 ksssskks	ksssskks
ks0122 kssssksk	kssssksk
ks0123 ksssskss	ksssskss
ks0124 kssssskk	kssssskk
ks0125 ksssssks	ksssssks
ks0126 kssssssk	kssssssk
ks0127 ksssssss	ksssssss
ks0128 skkkkkkk	skkkkkkk
ks0129 skkkkkks	skkkkkks
ks0130 skkkkksk	skkkkksk
ks0131 skkkkkss	skkkkkss
ks0132 skkkkskk	skkkkskk
ks0133 skkkksks	skkkksks
ks0134 skkkkssk	skkkkssk
ks0135 skkkksss	skkkksss
ks0136 skkkskkk	skkkskkk
ks0137 skkkskks	skkkskks
ks0138 skkksksk	skkksksk
ks0139 skkkskss	skkkskss
ks0140 skkksskk	skkksskk
ks0141 skkkssks	skkkssks
ks0142 skkksssk	skkksssk
ks0143 skkkssss	skkkssss
ks0144 skkskkkk	skkskkkk
ks0145 skkskkks	skkskkks
ks0146 skkskksk	skkskksk
ks0147 skkskkss	skkskkss
